NURSCO,NURNAME,SAMPLE,entry,CLASS,NAMET,pedigree,LOCATION,loccode,year1,year0,mmbran,mmflour,mmmids,microsd,FSDS,FSR_C,FSR_L,FSR_W,FSR_S,LDOPA,TWT,SKHRD,SKHRDSD,SKWT,SKWTSD,SKSIZE,SKSIZESD,FPROT,FASH,FYELD,MSCOR,BKFYELD,CODI,CAVOL
95,SOFT ELITE,19,19,CLUB,08X035-0-0-2*CAW,WA007970/CARA-0-2,PENDLETON,ADV,2018,2017,3.36,4.2,8.98,2,6.4,79,105.1,47.2,98.8,1.579,59.1,31.02,16.4,29.4,8.07,2.35,0.34,9,0.41,72.2,86.9,52.9,9.41,1360
95,SOFT ELITE,20,20,CLUB,08X035-0-0-3*CAW,WA007970/CARA-0-3,PENDLETON,ADV,2018,2017,3.62,4.05,12.1,1.4,7,78.6,102.3,47.1,101.2,1.406,59.6,33.71,16.2,31,8.94,2.4,0.33,8.2,0.45,72.4,84.6,52.4,9.48,1275
95,SOFT ELITE,21,21,CLUB,08X132-0-0-10*CBW,ORH010085/ARS970278-2C-0-10,PENDLETON,ADV,2018,2017,3.66,3.52,12.4,2.6,7.9,79.4,116.2,48,72.2,0.748,62.4,38.55,16.9,35.1,9.94,2.59,0.38,8.6,0.38,69.1,84.9,47.8,9.51,1205
95,SOFT ELITE,22,22,CLUB,09X151-0-0-10*CBW,X96283t284-2C/IDO629//X96283t284-2C-0-10,PENDLETON,ADV,2018,2017,3.43,3.87,11.9,1.3,5,74,92.5,45.9,68.3,0.825,64.5,41.96,14.7,34.6,8.67,2.69,0.36,8.9,0.33,71.2,90.8,52.5,9.65,1280
95,SOFT ELITE,23,23,CLUB,09X155-0-0-3*CBW,X96283t284-2C/IDO645//X96283t284-2C-0-3,PENDLETON,ADV,2018,2017,4.08,3.99,11.1,1.9,7.3,83.8,106.6,49.5,73.6,0.681,64.1,46.89,18.4,32.7,10.4,2.65,0.35,10,0.3,69.6,90.6,47.9,9.18,1205
95,SOFT ELITE,27,27,CLUB,09X468-0-0-11*CAW,ARS970075-3/P99840C4-8-4//ARS970075-3-0-11,PENDLETON,ADV,2018,2017,4.27,3.92,12.6,1.1,4.4,79.1,84,49.6,68.8,0.812,63.4,49.14,17.6,35.4,9.53,2.67,0.39,8.8,0.35,69.9,87.8,47.2,9.13,1155
95,SOFT ELITE,28,28,CLUB,09X481-0-0-4*CBW,ARSC960097/P99840C4-8-4//ARSC960097-0-4,PENDLETON,ADV,2018,2017,3.66,3.82,11,1.1,4.7,76.4,86.3,49.3,69.1,0.909,64.3,42.12,18.3,34.9,10.7,2.62,0.35,9,0.32,70.5,90.5,51.9,9.26,1230
111,SOFT ELITE,2,2,CLUB,09X481-0-0-4*CBW,ARSC960097/P99840C4-8-4//ARSC960097-0-4,PENDLETON,ADV,2019,2018,4.18,6.25,11.3,-9,5.3,,,53.2,,0.874,63.6,30.04,16.4,33.7,8.52,2.53,0.37,7.8,0.33,69.8,89,53.5,9.31,1260
95,SOFT ELITE,29,29,CLUB,09X488-0-0-1*CBW,ARSC960097/VA03W-412//ARSC960097-0-1,PENDLETON,ADV,2018,2017,4.19,3.93,12.1,0.5,4.1,80.6,79.8,47.8,67.8,0.635,64.4,36.36,15.3,32.8,7.81,2.67,0.34,7.7,0.39,72.5,88.6,51.2,9.39,1250
111,SOFT ELITE,3,3,CLUB,09X488-0-0-1*CBW,ARSC960097/VA03W-412//ARSC960097-0-1,PENDLETON,ADV,2019,2018,4.67,5.96,10.6,-9,6.1,,,50.4,,0.617,63,20.62,15.3,32.7,7.62,2.61,0.35,7.9,0.32,70.3,90.3,53,9.44,1295
95,SOFT ELITE,30,30,CLUB,09X488-0-0-3*CBW,ARSC960097/VA03W-412//ARSC960097-0-3,PENDLETON,ADV,2018,2017,4.73,4.57,12.2,0.6,4.7,79.2,85.1,45.8,69,0.917,64.9,20.64,13.9,39.1,7.01,2.82,0.27,8.7,0.4,73,88.6,53.1,9.63,1140
95,SOFT ELITE,31,31,CLUB,09X489-0-0-1*CBW,ARSC96059-2/IL01-11934//ARSC96059-2-0-1,PENDLETON,ADV,2018,2017,3.69,3.94,11.2,1.4,5.3,79.8,90,45.8,68.9,0.569,64,31.07,14.9,38.9,8.11,2.87,0.3,8.5,0.36,72.5,90.5,51.4,9.25,1200
95,SOFT ELITE,37,37,CLUB,09X492-0-0-1*CBW,ARSC96059-2/IL01-11934//ARSC96059-2-0-1,PENDLETON,ADV,2018,2017,3.5,4.08,11.2,1.4,5.3,77.8,88.7,47.3,67.9,0.643,63.2,19.77,13.9,35.1,7.62,2.74,0.34,10.6,0.42,71.5,85.4,51.8,9.5,1075
111,SOFT ELITE,7,7,CLUB,09X492-0-0-1*CBW,ARSC96059-2/IL01-11934//ARSC96059-2-0-1,PENDLETON,ADV,2019,2018,4.26,6.29,10.4,-9,5.5,,,53.5,,0.528,61.9,7.315,15.8,36.8,10.3,2.69,0.43,7.4,0.4,71,86.1,53.4,9.59,1240
95,SOFT ELITE,39,39,CLUB,09X492-0-0-6*CBW,ARSC96059-2/IL01-11934//ARSC96059-2-0-6,PENDLETON,ADV,2018,2017,3.97,4.08,12.4,0.2,2.6,75.6,66.6,46.8,66.7,0.502,63.4,19.67,15.2,37.6,10.2,2.82,0.37,8.2,0.36,72.8,90.9,53,9.82,1290
111,SOFT ELITE,8,8,CLUB,09X492-0-0-6*CBW,ARSC96059-2/IL01-11934//ARSC96059-2-0-6,PENDLETON,ADV,2019,2018,4.94,5.89,11.3,-9,4.1,,,52,,0.569,61.2,3.797,17.9,35.8,10,2.68,0.42,7.2,0.35,73.6,92.5,56.9,9.57,1195
95,SOFT ELITE,40,40,CLUB,09X492-0-0-7*CBW,ARSC96059-2/IL01-11934//ARSC96059-2-0-7,PENDLETON,ADV,2018,2017,3.53,4.81,10.7,1.2,5.8,77.1,77.3,48.8,68.1,0.526,63.2,21.69,16,36.8,9.94,2.74,0.35,9.9,0.43,71.6,84.9,50.7,9.73,1150
95,SOFT ELITE,44,44,CLUB,09X500-0-0-1*CBW,,PENDLETON,ADV,2018,2017,4.36,4.28,10.1,0.8,5,59.1,68.8,47.4,99.2,1.078,64.2,24.6,14.2,38.6,7.55,2.77,0.34,9.1,0.32,69.6,89.4,50.8,9.43,1285
95,SOFT ELITE,45,45,CLUB,09X500-0-0-14*CBW,ARSC96059-2/VA03W-412//ARSC96059-2-0-14,PENDLETON,ADV,2018,2017,3.99,4.63,11.8,1.3,5.5,59.7,66.8,47.3,99.9,0.505,65.1,31.8,13.8,36.3,7.6,2.76,0.32,8.5,0.35,71.9,90.4,51.6,9.32,1130
